Fuel_Level_Percentage,Vehicle_Load_kg,Speed_kmph,Temperature_C,Route_Type,distance
65.42,1429.7,39.7,34.9,Urban,121.05
41.88,570.7,66.3,,Rural,274.41
,842.7,75,39.2,Highway,500.01
29.69,933,71,41.9,Rural,149.79
37.79,636,67.9,38.6,Highway,252.47
92.16,2141.6,79.2,40.5,Urban,212.45
32.6,2592.5,61.8,18.1,Rural,66.76
49.65,1433.3,65.1,42.7,Rural,189.19
89.56,2686.4,79,33.7,Urban,131.98
72.23,1033.4,20.4,41.1,Urban,81.89
10.91,1313.5,58,35.5,Urban,28.73
18.99,876.8,64.3,21.1,Rural,113.05
5.74,2051.4,,33.3,Urban,27.79
64.94,1549.7,73,17.7,Highway,344.15
47.53,2033.2,70.5,35.9,Highway,193.63
17.76,2404.2,76.7,27.3,Urban,58.83
96,1864.3,52.2,19.6,Highway,328.35
55.32,2069.1,20.4,44.4,Highway,64.07
27.98,2838.1,20.7,42,Urban,1.48
52.56,1247.7,52.7,41.8,Urban,124.73
69.56,1397.9,46.1,38.7,Rural,191.82
12.24,2294.3,47.1,35.8,Highway,21.81
31.1,2028.3,44,34.7,Highway,62.65
81.66,946.3,75.1,18.2,Urban,363.17
48.67,1440.4,41.6,42,Urban,94.89
,1669.6,71.4,41.4,Rural,194.31
46.12,1548.5,74.2,37.4,Highway,245.55
,945.7,50,42.8,Urban,25.55
20.75,2811.1,46.8,31.6,Highway,23.02
47.33,2405.8,65.7,28.4,Highway,141.92
24.87,1703.4,62.5,,Urban,60.58
9.75,2200.2,39.7,28.9,Rural,12.39
85.15,2743.2,26.2,34.2,Urban,48.93
98.21,840.4,35.9,26.2,Highway,391.63
80.35,1125.9,27.9,,Urban,136.68
86.11,1856.8,37.7,36.6,Urban,117.23
27.99,2497.5,35.7,33.7,Rural,27.27
96.26,590.6,58.3,30.4,Highway,641.49
,2960,77.3,24,Highway,52.61
95.39,1637.3,61.1,34.3,Urban,244.68
99.51,1398.1,75.6,42.3,Rural,435.02
72.61,1231.8,67,15.2,Urban,268.44
98.21,935.9,63.7,19,Highway,614.83
59.11,2478.9,44.8,18.6,Rural,87.93
29.66,2888.5,39.5,42.7,Urban,14.13
46.51,1534.1,70.8,34.9,Urban,143.31
61.39,2881.1,74.3,43.6,Rural,67.06
11.94,2559.5,47.1,32.5,Rural,9.67
64.12,1702.6,20.5,28.9,Highway,90.52
98.21,2185.1,67.6,38.8,Urban,193.08
23.06,1587.5,37.1,19.8,Highway,73.15
80.3,1896.8,20.6,26.4,Urban,47.58
,645.1,68.3,29,Urban,415.01
94.65,2240.7,51,24,Urban,155.93
96.21,632.1,61.1,26.1,Urban,423.16
54.54,2542.7,74.9,17.3,Urban,75.6
97.84,2562.4,52.5,20.9,Urban,124.21
76.94,1092.7,50.2,25.1,Highway,386.89
20.36,1309.2,37.4,38.9,Highway,67.32
50.31,1703.3,38.3,20.5,Rural,101.69
73.24,1991.7,67.8,25.4,Urban,172.59
28.5,1218.4,46.9,16.9,Urban,66.98
65.86,1981.2,29.8,31.7,Highway,113.24
68.33,1244.5,25.7,33.3,Urban,87.6
20.46,638.7,48.4,41,Urban,55.6
,506.3,47.9,39.6,Highway,316.35
78.3,752.9,59.2,23.6,Urban,296.89
52.4,2480.6,48.3,19.1,Rural,72.48
6.15,2903.6,28.6,19.7,Highway,-0.05
5.86,1567.4,50.5,44.1,Urban,11.81
38.92,1781.7,,35.2,Urban,118.81
92.99,867.1,29.6,16.3,Highway,284.34
26.72,1877.6,61.4,19.1,Highway,115.13
65.26,861.6,55.6,29.6,Rural,309.25
26.1,2028,64.9,21.2,Highway,82.64
35.56,2833.1,29,39.1,Urban,-1.87
85.56,989.2,76.5,32.2,Urban,392.74
74.24,2411.4,57.3,33.4,Highway,187.57
14.06,558.8,70.8,28.9,Urban,76.7
,1438.7,34.8,22.7,Highway,125.34
7.77,776.9,64.4,32.7,Highway,49.18
50.68,1381.2,66.9,36.5,Highway,260.91
67.93,933.8,43.8,26.1,Urban,178.54
16.26,1433.3,43,30.1,Highway,59.73
32.44,1543.8,59.5,40.2,Urban,101.6
42.79,1251.5,25.6,19.5,Highway,92.03
92.36,2141.6,64.1,31.4,Highway,326.61
99.36,2797.1,,25.5,Highway,56.58
9.27,1501.5,31.4,36.1,Urban,-2.44
77.3,980.9,59.8,15.6,Highway,449.46
40.31,1176.8,25.9,35.1,Highway,88.67
42.28,2635,78.3,18.1,Urban,79.36
76.66,1929.1,72.1,16.9,Rural,280.69
92.25,1637.5,57.6,36.7,Highway,361.33
95.34,874.1,69.1,34.2,Highway,667.92
59.83,1624.3,73.3,41.8,Urban,162.34
38.93,1196.2,35.6,,Rural,91.55
79.82,2857.9,71,30.9,Highway,153.4
28.85,2710.2,31.7,36.2,Highway,11.25
58.59,709.8,44.8,24.7,Highway,304.23
39.06,1791.6,53.5,16.1,Urban,93.8
67.38,1062.6,62.8,21.9,Urban,263.02
27.84,1526.9,21.8,22.1,Urban,24.74
23.2,2692.1,37.4,25.1,Urban,27.6
92.23,1818.8,,43.3,Highway,287
14.67,1335.5,41.4,39.1,Urban,21.56
53.07,1019.7,66.5,43.1,Highway,301.01
25.98,2500.8,59.1,45,Highway,54.92
8.7,2061.3,34.1,28,Urban,-0.13
8.42,1670.2,28.8,21.8,Urban,29.36
21.65,1043.7,57.7,31.8,Highway,100.38
87.34,1335.6,47,41.4,Urban,186.23
31.84,2899.6,30.1,29,Urban,15.77
95.29,1800.2,39.6,30.2,Highway,235.89
60.25,1501.7,38.2,19,Highway,193.38
46.48,1803.6,26.5,27.6,Highway,77.39
60.11,2447.5,52.8,26.6,Highway,137.94
54.09,1350.3,65.8,25.6,Rural,256.78
77.08,946.8,54.5,41.6,Urban,209.09
31.84,1962.3,69.6,16.8,Rural,93.55
38.54,2163,,44.2,Urban,44.46
89.94,2281.8,46.1,15.2,Highway,189.17
94.91,2705,56.6,43.4,Highway,118.23
89.79,1427.9,60.6,31.4,Highway,436.7
,688.4,61.7,36.1,Rural,230.23
79.13,2895.9,,,Urban,74.97
50.25,1587.5,59.1,34.6,Urban,108.37
52.27,2058.1,,41.5,Urban,40.14
24.44,2165.8,61.7,19.2,Urban,39.05
61.16,1866.3,63.5,18.8,Highway,250.18
22.68,1013.1,79.6,24.1,Urban,116.29
36.5,2387.9,61.6,19.9,Rural,83.1
86.23,2509.4,61.2,,Highway,217.27
24.67,1882.4,50.9,35.3,Urban,67.46
11.76,1721.4,72.1,21.4,Urban,25.01
11.56,784.8,79.8,35,Urban,52.54
94.37,709.9,66.7,40.9,Rural,499.76
53.16,1348.9,56.8,,Highway,243.39
43.89,1277.1,24.7,18.6,Urban,29.16
82.03,2884.1,63.6,32.2,Urban,72.62
84.4,2459.1,62.5,26.8,Urban,147.14
36.56,2149.8,66.5,25.3,Urban,67.87
70.89,1794.1,27.5,24.6,Highway,140.22
78.26,918.4,59.2,42.9,Highway,390.08
67.19,2946.1,37.7,37.3,Urban,39.46
19.4,1437.6,65.6,,Rural,84.66
88.21,767.3,34.4,29.3,Urban,192.71
56.21,1734.5,61,24.5,Urban,146.4
31.83,2685,37.7,44.3,Highway,17.89
45.4,2718.2,20.5,44.3,Urban,24.76
8.57,527.4,58,24.6,Urban,28.8
17.15,2715.7,26.8,25.6,Highway,19.93
77.73,1178.7,59.6,33,Urban,237.72
5,597.4,75.5,29.4,Urban,48.17
44.57,2619.5,78.2,21.4,Highway,138.86
,2659.7,34.2,34.8,Urban,56.15
10.19,1990.6,68.6,25,Urban,48.28
97.44,1936.1,41.2,34.6,Urban,135.54
26.48,2532.8,74,26.5,Highway,68.94
33.9,2465.8,67.2,36,Urban,72.68
33.87,2725.3,24.4,35,Rural,17.8
26.89,1881.9,44.4,30.3,Rural,69.32
5.14,2919.1,40.2,36.1,Urban,-3.54
74.29,2990.4,67.1,28.8,Rural,75.42
96.85,791.4,44.6,18.5,Highway,464.11
26.31,2623.9,61.1,20.5,Urban,13.93
67.99,1749.6,56.1,,Highway,278.78
75.48,1468.9,78.5,16.9,Highway,466.07
85.6,2032.7,76.3,36.3,Urban,207.21
,639.9,45.7,26,Urban,146.3
33.78,1766.2,63.4,17.8,Urban,87.95
35.9,2677.2,69.8,39.6,Urban,46.39
72.7,1033.7,,35.5,Urban,303.38
82.59,1566,24.1,28.6,Highway,146.47
22.25,2848.7,38.1,22.4,Urban,40.42
40.24,1571.4,39.2,19.6,Urban,69.89
90.68,1395.9,46.1,28.8,Urban,210.23
81.64,1601.3,30.2,41.6,Rural,149.59
98.56,1798.6,49.8,20.7,Urban,181.51
76.65,2080,59.8,32.1,Urban,170.51
42.35,2501.7,49.8,43.9,Urban,43.62
61.11,1630.3,59.9,34.1,Highway,253.92
67.8,2543.7,24,28.2,Urban,26.46
12.45,1834.3,72.6,36.5,Urban,20.62
56.73,1346.2,76.3,,Urban,195.39
72.39,2144.9,57.1,,Urban,132.03
,2294.3,72.9,41.2,Highway,70.37
79.16,1895.1,27.9,30.4,Urban,86.49
60.46,641.5,67.8,39.9,Urban,244.19
95.46,924.7,27.1,43.6,Highway,239.36
9.03,1213.2,44.5,30,Urban,48.56
30.21,1206.6,39.4,33.2,Highway,119.36
62.15,2183.6,55.1,33.3,Urban,99.75
33.17,545.9,38.1,38.4,Rural,112.79
72.87,2389.2,58.2,39.7,Rural,139.61
,1163.4,42,15.8,Highway,302.34
14.74,1275.1,71.6,37,Rural,65.5
53.82,1819.8,,38.5,Urban,103.77
53.34,1039.8,32.9,36,Highway,171.44
40.08,2711.2,40.2,36.4,Urban,32.21
93.63,713.4,70.8,16.2,Highway,690.86
83.61,1611,43.2,,Urban,172
71.23,2623.6,52.1,39.5,Urban,87.9
72.86,2039.6,58.9,43,Rural,164.37
48.86,1230.8,,21.9,Urban,100.94
92.49,1551.9,37.6,32.4,Highway,261.69
70.99,2266.7,48.5,39.1,Highway,158.78
74.25,2933.2,32.9,37.6,Urban,29.5
86.86,2732.8,37.1,33.6,Urban,67.84
31.04,1356.1,23.7,15.6,Urban,38.33
81.67,2995.5,38.2,36.7,Rural,56.44
23.55,508.8,39.2,38.2,Rural,72.69
37.81,569.1,77.7,36.7,Highway,304.52
36.88,2559.6,55.4,38,Rural,52.32
,998.7,67.2,27.9,Urban,386.24
86.37,651.9,22.7,44.8,Urban,116.05
71.61,1092.9,26.4,38.1,Urban,78.7
74.07,1565.3,68.9,32.4,Highway,376.43
,2326.4,57.4,43,Urban,77.79
94.97,2060.8,31.5,42.2,Highway,138.07
52.14,1094.1,44.3,39.4,Highway,195.14
41.15,1758.2,52.3,,Urban,87.29
20.49,2815.5,70.6,30.8,Urban,36.01
79.69,2537.5,23.6,24.9,Urban,34.8
74.77,1308,55.8,22.5,Highway,375.1
41.51,2955.7,63,30.4,Urban,39.22
7.39,2271.6,78.7,32.3,Urban,16.35
84.7,656.1,68.4,22.3,Highway,662.99
6.08,587.9,36.6,42.7,Urban,1.94
71.85,921,62.6,31.7,Urban,289.55
97.17,2319.6,65.8,30.8,Highway,296.95
46.58,959.3,63.8,28.1,Highway,301.69
27.32,1778.7,69.2,16.7,Highway,145.55
71.96,733.2,74.2,41.5,Urban,310.61
82.63,2802.2,25.9,24.5,Urban,62.58
56.91,1359.9,26.3,34.3,Highway,106.89
96.87,2770.3,67.8,33.2,Urban,107.62
9.91,2862.2,35.1,32.5,Rural,-6.86
52.96,515.3,23.5,30.8,Urban,86.26
73.25,1660.3,44.1,20.4,Urban,140.47
86.95,561.6,69.2,23.4,Urban,430.35
22.03,2771.7,27.6,30.7,Rural,14.46
81,1796,60.3,,Highway,295.18
57.51,687.4,20.2,28,Urban,78.13
42.67,775.7,26.6,21.1,Highway,116.26
17.51,1458.8,41.1,17.6,Urban,48.43
87.2,2850.6,25,34.9,Urban,20.8
19.94,2232.3,70.8,27.7,Urban,45.66
34.43,2669,71.8,18.8,Urban,36.25
32.55,1416.1,65.3,35.2,Urban,91.09
87.78,608,34.5,21.2,Urban,203.35
68.91,2935.8,51.4,30.3,Urban,45.99
80.68,542.9,31.1,24.2,Urban,185.77
28.79,2869.1,36.9,43,Urban,2.67
64.36,1421.7,51,21.8,Rural,215.98
59.32,525.2,64.1,27.6,Highway,449.14
84.12,2222.9,25.7,,Rural,64.38
91.08,2951.4,37.8,24.6,Urban,58.37
6.15,2914.1,75.6,34.3,Urban,-7.74
69.03,902.3,45.7,24.5,Highway,340.49
9.92,953.1,76.3,18.3,Highway,91.92
57.14,1913.8,79.5,33.8,Highway,285.87
32.33,2093.3,51.6,42.5,Highway,84.92
34.14,2348.5,37.3,28.6,Highway,58.74
38.53,952.6,67.4,33.8,Highway,258.75
64.02,2897.5,29.6,33.3,Highway,47.32
,2096.8,35.1,27.5,Rural,73.02
74.61,2617.6,67.1,33.4,Rural,133.55
43.43,1850.2,46,22.8,Urban,90.6
11.49,1535.7,32.1,26.3,Urban,14.62
79.46,2943,59.1,28.3,Urban,82.17
32.15,1955.3,64,40.9,Urban,65.21
46.11,2667.2,27.5,25.4,Urban,10.11
70.12,2883.2,36.6,34.1,Urban,36.75
36.58,2188.4,33.3,21.4,Urban,46.15
10.38,1872.3,42.8,22.6,Highway,45.69
40.52,508.8,65.8,34.5,Urban,170.48
94.72,600,,37.9,Highway,608.6
65.96,1002.1,59.8,28.9,Urban,241.68
68.79,965,,25.1,Rural,123.12
65.07,1136.9,28.5,42.3,Highway,136.9
23.9,1262.3,33.4,,Urban,38.73
44.74,1400.2,36.3,36.6,Rural,97.64
76.34,1551.3,28.8,35.7,Urban,103.88
14.63,747.2,44.6,35.7,Rural,49.33
31.4,605.9,24.5,,Highway,71.62
31.25,2184.9,65,36.8,Urban,60.05
46.04,1843.3,67.3,24,Urban,113.27
98.14,1610.4,54.5,25.6,Urban,270.16
11.41,2086.1,25.4,26.7,Rural,22.77
54.28,2569.2,73.4,15.9,Highway,133.44
22.04,1569.2,77.9,42.4,Urban,57.28
97.21,2102.8,32.1,17.2,Urban,90.09
15.76,2883.9,62.3,36,Urban,19.33
43.34,2599.1,70.5,36.9,Urban,50.52
75.1,1565,52.4,40.3,Rural,212.49
71.93,2111.8,39.4,31.6,Urban,74.96
45.16,942.7,48.7,36.8,Urban,129.43
37.92,1901.3,50.7,24.1,Rural,107.32
42.77,2953.3,44,37.4,Urban,20.69
30.11,1795.8,75.8,25.3,Urban,98.88
24.51,2819.1,,42.1,Urban,30.3
,1518.3,34.5,19.9,Highway,139.24
30.51,2997.1,55.1,24.5,Highway,42.86
32.31,1948.1,61.3,30,Urban,61.32
67.39,605.7,28.4,38.3,Highway,203.9
97.01,1966.9,41.5,37.5,Highway,226.96
62.35,1186.4,74.3,21.3,Highway,442.08
12.31,581.2,54,19.3,Rural,61.29
12.18,2552.1,,24.1,Urban,8.47
95.39,1189.3,27.4,,Urban,138.62
33.24,2491.4,51.1,31.2,Highway,81.87
13.75,1220.5,52.9,27.9,Urban,16.69
61.91,985.8,40.1,34.9,Urban,145.71
64.25,2934.8,57.8,27.8,Urban,50.8
66.61,1404.1,24.1,43.4,Highway,112.56
30.4,2003.4,28.7,22.8,Urban,28.63
6.44,2025,52.8,33.8,Urban,10.88
96.68,1901.2,23.7,33.3,Urban,88.77
28.83,2786.7,72.9,23.4,Highway,53.51
69.22,2186.1,28.5,27.4,Highway,106.76
72.13,1509.3,60.4,,Urban,218.16
62.95,2656,43.5,20.2,Highway,82.14
,952.7,44,29.3,Highway,160.26
30.75,1860.6,65.9,26.6,Highway,139.8
61.78,2876.4,50,20.3,Urban,37.9
87.28,2063.5,63.5,28.5,Highway,308.24
94.94,2542.4,50.3,27.7,Rural,140.2
15.06,2133.9,55.6,18.9,Urban,28.21
19.71,2598.4,,18.9,Urban,26.61
94.75,2861.2,56.4,34.4,Urban,91.26
74.97,1182.3,56.9,36.2,Highway,362.14
88.88,924.2,67.4,43.2,Highway,517.03
24.25,1710,76.9,17.6,Urban,83.85
60.82,2254.7,42.6,18.5,Urban,65.62
,1068,54.6,16.6,Rural,282.43
69.61,510.3,25.2,31,Highway,197.63
43.77,1357.3,41.5,33.7,Rural,88.48
6.46,2922.1,44.7,,Rural,11.11
60.38,2237.4,70.1,38.9,Urban,124.43
29.04,1503.3,50.8,35.6,Urban,75
47.77,981.4,,44.6,Highway,276.4
95.97,1390.2,21.1,,Urban,115.58
42.91,924.6,47.9,16.7,Urban,118.01
,765.8,74.1,23.2,Urban,432.78
22.91,2766.9,33.5,15.6,Rural,16.02
68.88,2994.1,21.9,43,Urban,11.38
97.82,910.3,46,24.1,Urban,281.15
14.68,636.3,62.3,31.6,Highway,99.25
5.79,1324.3,47.3,24.5,Rural,23.05
46.19,1654.1,,22.4,Rural,147.58
13.8,1012.1,60.2,19.6,Highway,88.75
76.1,1253.6,35.3,24.6,Urban,142.55
91.88,1002.2,65.1,33.5,Urban,331.32
46.23,2435.7,29.2,44.1,Rural,44.43
29.58,2281.4,43.7,31.7,Urban,45.77
46.27,2087.4,59.4,31,Highway,164.34
73.73,1468,69.7,16.1,Urban,235.14
,2772.6,67.5,40.2,Urban,10.79
61,2923.8,63.3,16.3,Highway,93.2
63.26,934.1,41.5,42.2,Rural,172.41
,1057.5,27.3,31.2,Rural,139.5
27.99,1814.1,33,20.1,Rural,58.41
72.84,728.1,71.9,28.6,Highway,588.2
13.68,1591.1,,44.8,Highway,61.5
23.93,1954.5,77.1,24.2,Rural,120.39
88.36,1805.2,24.6,23.1,Urban,109.65
75.18,1327.3,52.2,18.5,Rural,265.84
6.31,1856.1,58.9,32.9,Highway,21.55
28.6,2897,62.6,17.7,Rural,40.36
25.37,1015,58.6,38,Highway,133.35
30.73,2137.1,66.2,42.6,Urban,69.83
28.52,608.5,41.6,43,Urban,57.65
10.94,666,30.8,18.2,Urban,19.84
48.6,1879.6,32.3,31.7,Urban,66.18
74.61,762.3,,17.9,Urban,108.24
62.64,555.9,41,32.2,Highway,277.56
68.92,928.8,25.5,39.4,Urban,87.16
12.71,1912.1,39.3,31.1,Urban,1.86
95.39,2258.4,57.7,41.2,Rural,182.16
84.66,1006.2,73.7,39.1,Urban,321.38
81.48,2170.6,70.4,23.3,Rural,255.26
83.18,956.2,35.2,33.9,Urban,171.92
93.61,2033.6,28,15.2,Rural,114.02
56.7,1529.9,31.6,26.9,Urban,86.83
24.03,2134.5,78.3,22.1,Highway,115.89
63.59,2987.6,53,43.1,Highway,48.51
75.57,2844.5,31,27.2,Rural,30.76
75.1,510.7,,34.6,Urban,364.29
54.54,2713.6,43.7,,Urban,37.33
11.5,666.2,74,38.2,Rural,59.59
40.26,2882.6,35.6,37.1,Urban,24.99
92.47,1204.6,43.6,23.7,Urban,208.67
60.52,1455.1,50.3,35.6,Urban,130.55
56.14,729.1,73.6,31.5,Urban,243.74
30.54,780.7,72.1,32.9,Urban,140.46
40,2316.9,54.5,15,Urban,73.77
90.06,2860.8,33.3,22.7,Urban,41.09
68.31,2026.9,44.2,42.9,Urban,83.37
79.8,2289.6,78.5,23.7,Urban,204.94
48.16,2404.9,56.5,28.1,Highway,126.58
64.87,1157,66.9,20.6,Rural,347.83
28.6,613.1,47,19.2,Urban,93
72.02,504.7,51.9,21.3,Rural,361.66
45.62,1376.6,45.7,31.6,Rural,152.27
47.04,1103.7,62.2,42.6,Highway,239.24
66.69,655.8,71.1,24.8,Rural,451.11
93.95,948.8,50.4,24.7,Urban,276.88
11.08,811.2,48.9,31.9,Rural,62.59
83.35,2787.2,40.4,25.7,Highway,103.22
32.78,850.7,30.6,42.3,Urban,53.87
,1844.1,76.4,26.3,Highway,254.49
7.08,1982.8,39,29.7,Highway,4.82
33.6,1858.7,68,31,Urban,82.61
52.75,747.6,62.9,,Urban,203.02
10.34,1297,67.5,31.9,Highway,60.09
51.65,628.2,76.2,22.2,Highway,462.22
,1489.2,57.4,18.7,Highway,421.93
15.01,971.5,73.9,43.1,Highway,102.02
77.62,1904.1,30.1,39,Urban,66.96
43.92,2232,57.6,15.7,Urban,85.52
67.24,1830.3,66.3,39.6,Rural,207.05
29.72,1585.6,36.3,32.7,Rural,64.12
20.15,1468.3,64.4,30.6,Highway,97.69
20.24,2604.2,66.7,15.4,Rural,33.57
11.7,1048.4,69.9,38.4,Rural,60.17
22.64,2335.5,38.8,20.9,Urban,31.88
68.1,2393.7,60.9,36.8,Urban,110.18
88.76,1548,38.3,15.5,Urban,154.46
82.34,1243.3,64.3,38.9,Urban,251.22
70.09,1676.4,47.8,15.7,Highway,234.59
,733,55.9,22.1,Urban,60.56
32.47,614.8,45,23,Rural,138.3
34.43,779,29.7,19.7,Highway,115.13
28.75,967.9,30.7,29.4,Highway,76.27
53.93,1760.4,24.7,23.5,Urban,36.79
55.88,2622.8,57.1,44.8,Urban,68.02
38.9,1089.1,70.9,32.4,Highway,255.24
38.61,2837.9,21.3,32,Rural,21.04
83.71,2887.3,24,21.6,Rural,30.96
79.98,2897.3,47.4,27.3,Highway,105.64
34.24,2593.9,64.3,18.7,Urban,50.23
91.81,1409.6,29.5,37.9,Urban,121.49
95.52,681.7,36.3,24.9,Rural,328.27
36.04,1922,33.9,37.6,Urban,24.71
38.67,1896.7,43.9,26.2,Highway,115.78
53.04,2624.9,33.5,44.7,Highway,66.89
94.41,2990,41.2,20.1,Urban,50.32
88.25,1770.4,,15,Urban,220.63
14.74,1363,56.7,32.8,Rural,51.72
42.31,964.8,24.9,43.6,Rural,83.3
,512,58.3,34.4,Rural,315.18
52.8,1772.8,48.6,17.6,Urban,98.28
23.42,1888.8,76.1,31.2,Urban,70.93
86.59,2562.3,37.4,42.3,Rural,86.03
69.31,1761.4,63.6,15.2,Urban,176.84
84.6,2791.2,63.9,20,Highway,143.95
86.58,2070.2,33.3,39.4,Urban,99.64
76.09,2600.8,74.2,41.8,Highway,181.65
46.73,870.8,49.5,36.2,Urban,147.04
63,2638.3,60.7,44.7,Rural,77.05
20.23,2187.9,28.8,17.7,Rural,13.06
69,925.6,35.5,31.4,Urban,168.15
22.03,974.4,55.2,35.5,Urban,80.19
70.93,2816.3,39.1,36.1,Highway,62.09
26.81,580.5,50,38.8,Urban,93.02
16.17,1656.3,42.4,42.5,Rural,30.1
20.7,1283.7,58.4,25.8,Urban,49.46
5.19,2162.7,49.2,16.3,Urban,-13.21
73.28,2599.1,20.3,25.9,Highway,55.12
74.58,1400.9,59,,Highway,361.59
53.92,1567.3,45.3,21.4,Urban,128.98
20.33,2954.8,,39.3,Urban,22.22
12.94,2459.8,25.6,21.6,Urban,16.62
6.82,2743,33.2,15.3,Urban,7.04
20.75,1596.9,33.4,,Urban,42.78
89.63,1085.2,76.1,36.8,Rural,464.14
27.95,1529.7,46,25.5,Urban,72.91
38.66,2290.2,22.5,37.5,Urban,11.81
15.01,773.6,28.3,28.2,Highway,37.58
26.12,1176.2,24.7,20.2,Urban,42.64
54.33,616.6,55.3,17.7,Rural,276.97
62.74,1580.9,31.2,36.3,Highway,132.74
28.31,2568.6,49.9,26.6,Urban,38.83
10.48,561.7,,,Rural,41.41
42.15,2188.3,68.2,31.2,Urban,85.32
27.25,2831.2,39.2,25.5,Highway,31.16
25.86,1092.3,47.5,25.5,Rural,118.9
96.19,2234.1,63.3,18.9,Rural,238.44
63.55,2937.8,46,32.8,Urban,35.41
57.9,2905.7,67.6,32.5,Urban,55.29
44.5,1087.3,59.7,39,Urban,135.98
,750.8,,21,Highway,232.29
56.39,870.7,50.2,23.7,Rural,259.57
71.16,2255.1,78,17.9,Urban,158.01
71.7,2314.4,59.7,23.9,Urban,116.91
21.31,2185.6,74.3,27.8,Rural,87.18
52.51,1340.2,30.7,43.9,Urban,71.79
44.14,924.4,49,34.6,Urban,108.85
87.7,1951.9,74.5,38.5,Urban,237.35
64.98,1709.2,39.4,24.8,Urban,125.65
55.59,2322.1,78.1,19.3,Rural,176.76
15.96,1603.4,25.8,22.7,Rural,39.78
62.54,1346.6,74.2,22.7,Urban,270.52
16.13,1233.7,46.7,32.5,Rural,42.27
37.03,1028.7,24.4,25.2,Urban,47.75
18.57,1164.4,72.8,40.7,Rural,83.8
70.75,737.1,35.1,44.7,Urban,132.53
24.59,1367.1,21.3,25.3,Rural,38.36
42.23,591.4,28.1,36.2,Urban,71.72
90.09,966,59.5,34.7,Urban,294.74
24.41,2366.9,78.7,20.8,Rural,60.77
53.24,1313.7,26.7,42.5,Urban,61.16
44.83,2170.6,47.7,21,Rural,102.41
6.72,2292.2,30.8,37.1,Urban,-0.26
80.31,1953,64.7,25.4,Urban,208.25
11.56,2896.7,27.1,26,Rural,-6.98
,553.6,34.4,28.7,Highway,171.56
58.26,2346.6,31.8,40.9,Urban,43.6
64.7,2897,53.2,19.2,Urban,42.78
70.42,2655.7,72.4,16.6,Highway,155.47
29.06,919.7,,27.1,Urban,83.06
5.95,1317.1,23.5,16.7,Urban,-0.08
73.73,931.1,53.8,35.6,Highway,369.7
55.89,2003.3,67.9,37.8,Highway,197.4
84.43,2280.5,27.9,40.6,Rural,67.23
83.03,1292.7,24.4,37.3,Highway,142.11
85.12,1848.8,31.3,42.5,Urban,68.64
51.08,2227.3,64.8,37.4,Urban,116.87
36.69,1553.3,55.5,43.1,Urban,80.53
80.2,2635,52.4,20.8,Urban,102.31
47.87,2428.9,35,30,Urban,40.85
22.43,661.7,39.9,44.8,Rural,66.46
,2052.8,78,35.4,Rural,293.75
88.84,1088.3,34.4,41.4,Highway,263.14
49.3,1893.8,74.1,15.9,Highway,209.77
12.19,2892.2,54.8,41.2,Urban,4.71
41.84,2697.7,27.4,35.9,Highway,37.19
81.34,1511.3,48,20.1,Rural,226.8
90.67,1228.8,76.9,15.8,Highway,612.1
,1086,45.1,22.8,Urban,75.39
11.36,1831.3,71.8,42.5,Highway,25.77
88.35,785.6,35.4,35,Highway,309.57
41.99,1873.2,54.3,42.6,Urban,77.46
56.47,503.3,70.6,28.4,Urban,296.94
96.97,1309.6,,43.1,Highway,560.33
11.32,1049.8,49.1,28.9,Highway,48.16
66.59,2928,58.4,21.1,Rural,94.64
12.04,2318.1,20.2,19.5,Urban,6.3
40.67,1374.1,35.2,44.8,Urban,58.78
81.36,732.1,36.7,25,Urban,212.23
46.18,1792,,19.8,Urban,50.96
99.73,1033.6,36.8,15.3,Highway,343.12
58.11,1841.1,39.3,23.6,Rural,144.48
35.51,2588.4,78.1,41.7,Highway,90.22
25.91,2039.5,60.1,31,Rural,61.42
,2084.5,45.6,34,Urban,47.84
40.39,1852.6,79.3,42.7,Urban,123.29
11.53,2818.2,29.2,30.4,Urban,12.27
40.11,2829.8,48.6,40.1,Highway,30.65
49.1,1781.8,58.8,24.7,Urban,107.59
73.66,1264.4,23.3,44.3,Highway,129.27
67.39,1649,63,17.4,Urban,187.7
72.33,966.4,26,36.7,Urban,98.4
5.79,2090.9,28.4,34.8,Urban,-11.58
25.68,1750.2,29.6,20.8,Urban,20.6
67.86,758.3,75.7,26.7,Rural,477.95
50.98,994.1,61,24.4,Rural,263.17
5.5,1699.1,59.3,17.8,Urban,23.63
81.43,2719,53.3,32.5,Rural,116.17
78.42,1916,37.6,,Highway,149.81
57.1,2203.8,57.3,31.8,Highway,160.96
11.31,1347.6,44.6,31.4,Urban,23.73
77.82,1928.5,28.7,16.2,Highway,137.54
60.45,1618.4,61.4,19.2,Urban,175.36
79.29,2147.8,,30.4,Urban,89.19
76.42,626.4,31.4,44.6,Urban,146.74
81.29,1733.3,69.1,41.3,Highway,354.31
54.21,1240,59.6,25.2,Highway,322.9
18.33,1315.5,57.9,31.3,Rural,70.36
68.76,2902.3,45.1,31.6,Highway,84.02
63.95,956.7,43.8,35.6,Rural,218.07
75.51,1278.1,61.4,35.6,Highway,389.88
21.14,1774.7,64.4,38.7,Urban,48.53
,2657.6,50.6,15.7,Highway,23.95
